model_name,scats_number,datetime,actual_flow,predicted_flow
XGBoost,970,2006-10-31 16:15:00,1190,1177.72
XGBoost,970,2006-10-31 16:30:00,1227,1203.95
XGBoost,970,2006-10-31 16:45:00,1181,1204.87
XGBoost,970,2006-10-31 17:00:00,1194,1226.75
XGBoost,970,2006-10-31 17:15:00,1195,1242.71
XGBoost,970,2006-10-31 17:30:00,1270,1233.65
XGBoost,970,2006-10-31 17:45:00,1266,1281.87
XGBoost,970,2006-10-31 18:00:00,1220,1272.51
XGBoost,970,2006-10-31 18:15:00,1199,1211.6
XGBoost,970,2006-10-31 18:30:00,947,1058.25
XGBoost,970,2006-10-31 18:45:00,907,881.63
XGBoost,970,2006-10-31 19:00:00,776,797.34
XGBoost,970,2006-10-31 19:15:00,795,720.16
XGBoost,970,2006-10-31 19:30:00,665,661.53
XGBoost,970,2006-10-31 19:45:00,579,596.64
XGBoost,970,2006-10-31 20:00:00,518,526.88
XGBoost,970,2006-10-31 20:15:00,544,498.51
XGBoost,970,2006-10-31 20:30:00,475,468.15
XGBoost,970,2006-10-31 20:45:00,448,451.53
XGBoost,970,2006-10-31 21:00:00,496,449.25
XGBoost,970,2006-10-31 21:15:00,426,451.09
XGBoost,970,2006-10-31 21:30:00,395,417.71
XGBoost,970,2006-10-31 21:45:00,417,398.01
XGBoost,970,2006-10-31 22:00:00,383,382.63
XGBoost,970,2006-10-31 22:15:00,345,346.32
XGBoost,970,2006-10-31 22:30:00,295,316.72
XGBoost,970,2006-10-31 22:45:00,269,278.77
XGBoost,970,2006-10-31 23:00:00,229,244.05
XGBoost,970,2006-10-31 23:15:00,158,206.39
XGBoost,970,2006-10-31 23:30:00,158,147.71
XGBoost,970,2006-10-31 23:45:00,133,127.82
XGBoost,2000,2006-10-27 12:00:00,863,874.02
XGBoost,2000,2006-10-27 12:15:00,896,904.12
XGBoost,2000,2006-10-27 12:30:00,897,879.01
XGBoost,2000,2006-10-27 12:45:00,913,876.8
XGBoost,2000,2006-10-27 13:00:00,863,914.52
XGBoost,2000,2006-10-27 13:15:00,906,912.46
XGBoost,2000,2006-10-27 13:30:00,827,912.13
XGBoost,2000,2006-10-27 13:45:00,851,880.47
XGBoost,2000,2006-10-27 14:00:00,947,872.5
XGBoost,2000,2006-10-27 14:15:00,898,908.72
XGBoost,2000,2006-10-27 14:30:00,939,927.12
XGBoost,2000,2006-10-27 14:45:00,922,934.18
XGBoost,2000,2006-10-27 15:00:00,944,985.31
XGBoost,2000,2006-10-27 15:15:00,1014,961.04
XGBoost,2000,2006-10-27 15:30:00,1005,1056.67
XGBoost,2000,2006-10-27 15:45:00,1030,1059.87
XGBoost,2000,2006-10-27 16:00:00,1088,1089.7
XGBoost,2000,2006-10-27 16:15:00,1186,1114.23
XGBoost,2000,2006-10-27 16:30:00,1274,1170.4
XGBoost,2000,2006-10-27 16:45:00,1243,1236.43
XGBoost,2000,2006-10-27 17:00:00,1238,1203.04
XGBoost,2000,2006-10-27 17:15:00,1388,1270.43
XGBoost,2000,2006-10-27 17:30:00,1261,1285.19
XGBoost,2000,2006-10-27 17:45:00,1330,1295.69
XGBoost,2000,2006-10-27 18:00:00,1326,1276.08
XGBoost,2000,2006-10-27 18:15:00,1246,1269.6
XGBoost,2000,2006-10-27 18:30:00,1126,1182.46
XGBoost,2000,2006-10-27 18:45:00,1030,1051.56
XGBoost,2000,2006-10-27 19:00:00,938,951.74
XGBoost,2000,2006-10-27 19:15:00,901,910.95
XGBoost,2000,2006-10-27 19:30:00,784,835.85
XGBoost,2000,2006-10-27 19:45:00,723,715.6
XGBoost,2000,2006-10-27 20:00:00,634,651.21
XGBoost,2000,2006-10-27 20:15:00,578,606.6
XGBoost,2000,2006-10-27 20:30:00,553,555.57
XGBoost,2000,2006-10-27 20:45:00,538,538.89
XGBoost,2000,2006-10-27 21:00:00,576,583.34
XGBoost,2000,2006-10-27 21:15:00,603,593.24
XGBoost,2000,2006-10-27 21:30:00,544,583.63
XGBoost,2000,2006-10-27 21:45:00,490,524.76
XGBoost,2000,2006-10-27 22:00:00,441,498.56
XGBoost,2000,2006-10-27 22:15:00,467,427.92
XGBoost,2000,2006-10-27 22:30:00,487,433.45
XGBoost,2000,2006-10-27 22:45:00,432,437.47
XGBoost,2000,2006-10-27 23:00:00,454,409.29
XGBoost,2000,2006-10-27 23:15:00,402,413.07
XGBoost,2000,2006-10-27 23:30:00,393,367.04
XGBoost,2000,2006-10-27 23:45:00,313,346.51
XGBoost,2000,2006-10-28 00:00:00,319,302.9
XGBoost,2000,2006-10-28 00:15:00,305,281.48
XGBoost,2000,2006-10-28 00:30:00,229,289.74
XGBoost,2000,2006-10-28 00:45:00,202,219.69
XGBoost,2000,2006-10-28 01:00:00,178,177.2
XGBoost,2000,2006-10-28 01:15:00,145,156.83
XGBoost,2000,2006-10-28 01:30:00,129,132.83
XGBoost,2000,2006-10-28 01:45:00,110,115.31
XGBoost,2000,2006-10-28 02:00:00,128,102.56
XGBoost,2000,2006-10-28 02:15:00,99,108.27
XGBoost,2000,2006-10-28 02:30:00,101,95.54
XGBoost,2000,2006-10-28 02:45:00,76,90.91
XGBoost,2000,2006-10-28 03:00:00,59,73.62
XGBoost,2000,2006-10-28 03:15:00,74,58.32
XGBoost,2000,2006-10-28 03:30:00,61,65.28
XGBoost,2000,2006-10-28 03:45:00,77,59.98
XGBoost,2000,2006-10-28 04:00:00,57,69.04
XGBoost,2000,2006-10-28 04:15:00,56,60.99
XGBoost,2000,2006-10-28 04:30:00,69,55.97
XGBoost,2000,2006-10-28 04:45:00,75,67.47
XGBoost,2000,2006-10-28 05:00:00,80,82.15
XGBoost,2000,2006-10-28 05:15:00,100,90.33
XGBoost,2000,2006-10-28 05:30:00,140,114.0
XGBoost,2000,2006-10-28 05:45:00,145,157.21
XGBoost,2000,2006-10-28 06:00:00,150,187.83
