model_name,scats_number,hour_datetime,actual_flow_hourly,predicted_flow_hourly
XGBoost,2820,2006-10-29 04:00:00,128,143.89
XGBoost,2820,2006-10-29 05:00:00,121,147.06
XGBoost,2820,2006-10-29 06:00:00,171,197.82
XGBoost,2820,2006-10-29 07:00:00,270,267.2
XGBoost,2820,2006-10-29 08:00:00,394,376.59
XGBoost,2820,2006-10-29 09:00:00,739,712.49
XGBoost,2820,2006-10-29 10:00:00,903,980.41
XGBoost,2820,2006-10-29 11:00:00,1074,1088.02
XGBoost,2820,2006-10-29 12:00:00,1345,1322.9299
XGBoost,2820,2006-10-29 13:00:00,1350,1360.31
XGBoost,2820,2006-10-29 14:00:00,1274,1290.01
XGBoost,2820,2006-10-29 15:00:00,1259,1285.78
XGBoost,2820,2006-10-29 16:00:00,1277,1274.36
XGBoost,2820,2006-10-29 17:00:00,1384,1347.59
XGBoost,2820,2006-10-29 18:00:00,1138,1127.59
XGBoost,2820,2006-10-29 19:00:00,820,821.36
XGBoost,2820,2006-10-29 20:00:00,682,632.6
XGBoost,2820,2006-10-29 21:00:00,571,578.4
XGBoost,2820,2006-10-29 22:00:00,466,459.73
XGBoost,2820,2006-10-29 23:00:00,260,275.29
XGBoost,2820,2006-10-30 00:00:00,131,142.23
XGBoost,2820,2006-10-30 01:00:00,73,72.27
XGBoost,2820,2006-10-30 02:00:00,36,44.309998
XGBoost,2820,2006-10-30 03:00:00,46,47.989998
XGBoost,2820,2006-10-30 04:00:00,56,77.6
XGBoost,2820,2006-10-30 05:00:00,196,175.35
XGBoost,2820,2006-10-30 06:00:00,578,619.45
XGBoost,2820,2006-10-30 07:00:00,1251,1327.2
XGBoost,2820,2006-10-30 08:00:00,1285,1311.94
XGBoost,2820,2006-10-30 09:00:00,1284,1162.14
XGBoost,2820,2006-10-30 10:00:00,1131,1112.93
XGBoost,2820,2006-10-30 11:00:00,1179,1178.81
XGBoost,2820,2006-10-30 12:00:00,1259,1279.62
XGBoost,2820,2006-10-30 13:00:00,1329,1332.13
XGBoost,2820,2006-10-30 14:00:00,1433,1389.13
XGBoost,2820,2006-10-30 15:00:00,1926,1821.14
XGBoost,2820,2006-10-30 16:00:00,2121,2157.92
XGBoost,2820,2006-10-30 17:00:00,2115,2177.32
XGBoost,2820,2006-10-30 18:00:00,1900,1833.04
XGBoost,2820,2006-10-30 19:00:00,1089,1125.09
XGBoost,2820,2006-10-30 20:00:00,782,774.06
XGBoost,2820,2006-10-30 21:00:00,673,656.19995
XGBoost,2820,2006-10-30 22:00:00,572,557.74
XGBoost,2820,2006-10-30 23:00:00,237,262.71002
XGBoost,2820,2006-10-31 00:00:00,114,117.770004
XGBoost,2820,2006-10-31 01:00:00,51,60.63
XGBoost,2820,2006-10-31 02:00:00,35,41.010002
XGBoost,2820,2006-10-31 03:00:00,26,38.52
XGBoost,2820,2006-10-31 04:00:00,51,54.58
XGBoost,2820,2006-10-31 05:00:00,225,212.22
XGBoost,2820,2006-10-31 06:00:00,579,658.35
XGBoost,2820,2006-10-31 07:00:00,1291,1340.13
XGBoost,2820,2006-10-31 08:00:00,1158,1288.97
XGBoost,2820,2006-10-31 09:00:00,1233,1262.9
XGBoost,2820,2006-10-31 10:00:00,1209,1183.39
XGBoost,2820,2006-10-31 11:00:00,1148,1200.35
XGBoost,2820,2006-10-31 12:00:00,1251,1270.56
XGBoost,2820,2006-10-31 13:00:00,1384,1348.49
XGBoost,2820,2006-10-31 14:00:00,1466,1452.23
XGBoost,2820,2006-10-31 15:00:00,2029,1938.8401
XGBoost,2820,2006-10-31 16:00:00,2104,2197.01
XGBoost,2820,2006-10-31 17:00:00,2024,2157.3599
XGBoost,2820,2006-10-31 18:00:00,2014,1916.11
XGBoost,2820,2006-10-31 19:00:00,1313,1326.23
XGBoost,2820,2006-10-31 20:00:00,875,922.14
XGBoost,2820,2006-10-31 21:00:00,728,757.53
XGBoost,2820,2006-10-31 22:00:00,616,624.44
XGBoost,2820,2006-10-31 23:00:00,333,333.31
XGBoost,2825,2006-10-27 12:00:00,769,782.2
XGBoost,2825,2006-10-27 13:00:00,850,834.18
XGBoost,2825,2006-10-27 14:00:00,846,832.08
XGBoost,2825,2006-10-27 15:00:00,1060,1053.45
XGBoost,2825,2006-10-27 16:00:00,1206,1183.23
XGBoost,2825,2006-10-27 17:00:00,1350,1362.9
XGBoost,2825,2006-10-27 18:00:00,1116,1154.5701
XGBoost,2825,2006-10-27 19:00:00,683,722.64
XGBoost,2825,2006-10-27 20:00:00,481,497.97998
XGBoost,2825,2006-10-27 21:00:00,429,471.65
XGBoost,2825,2006-10-27 22:00:00,374,380.92
XGBoost,2825,2006-10-27 23:00:00,333,333.99
XGBoost,2825,2006-10-28 00:00:00,228,213.79001
XGBoost,2825,2006-10-28 01:00:00,109,125.33
XGBoost,2825,2006-10-28 02:00:00,64,59.93
XGBoost,2825,2006-10-28 03:00:00,50,48.510002
XGBoost,2825,2006-10-28 04:00:00,53,56.07
XGBoost,2825,2006-10-28 05:00:00,96,105.979996
XGBoost,2825,2006-10-28 06:00:00,252,258.44998
XGBoost,2825,2006-10-28 07:00:00,305,353.23
XGBoost,2825,2006-10-28 08:00:00,562,580.63
XGBoost,2825,2006-10-28 09:00:00,662,701.05
XGBoost,2825,2006-10-28 10:00:00,751,773.45
XGBoost,2825,2006-10-28 11:00:00,731,784.48
XGBoost,2825,2006-10-28 12:00:00,914,806.51
XGBoost,2825,2006-10-28 13:00:00,791,866.46
XGBoost,2825,2006-10-28 14:00:00,811,781.39
XGBoost,2825,2006-10-28 15:00:00,842,846.55
XGBoost,2825,2006-10-28 16:00:00,903,931.13
XGBoost,2825,2006-10-28 17:00:00,888,943.69995
XGBoost,2825,2006-10-28 18:00:00,785,848.4
XGBoost,2825,2006-10-28 19:00:00,549,608.75
XGBoost,2825,2006-10-28 20:00:00,439,429.9
XGBoost,2825,2006-10-28 21:00:00,369,362.41998
XGBoost,2825,2006-10-28 22:00:00,461,418.27002
XGBoost,2825,2006-10-28 23:00:00,437,440.67
XGBoost,2825,2006-10-29 00:00:00,356,328.06
XGBoost,2825,2006-10-29 01:00:00,130,193.70999
XGBoost,2825,2006-10-29 02:00:00,31,55.81
XGBoost,2825,2006-10-29 03:00:00,104,80.490005
XGBoost,2825,2006-10-29 04:00:00,66,76.59
XGBoost,2825,2006-10-29 05:00:00,64,85.56
XGBoost,2825,2006-10-29 06:00:00,145,151.06
XGBoost,2825,2006-10-29 07:00:00,178,198.63
